recordID,mo,dy,yr,period,plot,stake,species,scientificName,country
6545,9,18,1982,62,13,36,AB,  Amphispiza bilineata,UNITED STATES
5220,1,24,1982,54,20,27,AB,  Amphispiza bilineata  ,UNITED STATES
18932,8,7,1991,162,19,33,AS,Ammodramus savannarum,UNITED STATES
20588,1,24,1993,179,12,41,AS,Ammodramus savannarum,United States of America
7020,11,21,1982,63,24,72,AH,Ammospermophilis harrisi,United States of America
7645,4,16,1983,67,24,21,AH,Ammospermophilus  harrisi,United States of America
8641,11,13,1983,74,15,25,AH,Ammospermophilus harrisi,United States of America
9495,8,26,1984,82,9,21,AH,Ammospermophilus harrisi,United States of America
9583,9,30,1984,83,15,37,AH,Ammospermophilus harrisi,UNITED STATES
9862,1,20,1985,86,13,11,AH,Ammospermophilus harrisi,UNITED STATES
9882,1,20,1985,86,15,31,AH,Ammospermophilus harrisi,UNITED STATES
9891,1,20,1985,86,1,43,AH,Ammospermophilus harrisi,UNITED STATES
9939,2,16,1985,87,20,25,AH,Ammospermophilus harrisi,UNITED STATES
10153,4,20,1985,-88,24,15,AH,Ammospermophilus harrisi,UNITED STATES
10450,6,15,1985,90,19,13,AH,Ammospermophilus harrisi,UNITED STATES
10498,6,16,1985,90,3,24,AH,Ammospermophilus harrisi,UNITED STATES
10509,6,16,1985,90,15,33,AH,Ammospermophilus harrisi,UNITED STATES
10694,8,20,1985,92,15,33,AH,Ammospermophilus harrisi,UNITED STATES
11040,11,17,1985,95,15,33,AH,Ammospermophilus harrisi,UNITED STATES
11101,12,7,1985,96,14,22,AH,Ammospermophilus harrisi,UNITED STATES
11157,12,8,1985,96,2,16,AH,Ammospermophilus harrisi,UNITED STATES
11213,12,8,1985,96,13,71,AH,Ammospermophilus harrisi,UNITED STATES
11221,12,8,1985,96,13,74,AH,Ammospermophilus harrisi,UNITED STATES
11389,4,13,1986,98,15,23,AH,Ammospermophilus harrisi,UNITED STATES
11507,5,11,1986,99,15,34,AH,Ammospermophilus harrisi,UNITED STATES
11526,5,11,1986,99,13,65,AH,Ammospermophilus harrisi,UNITED STATES
11606,6,5,1986,100,15,44,AH,Ammospermophilus harrisi,UNITED STATES
11621,6,5,1986,100,13,61,AH,Ammospermophilus harrisi,UNITED STATES
11626,6,5,1986,100,13,64,AH,Ammospermophilus harrisi,UNITED STATES
11632,6,5,1986,100,13,74,AH,Ammospermophilus harrisi,UNITED STATES
11649,7,3,1986,101,12,32,AH,Ammospermophilus harrisi,UNITED STATES
11718,7,4,1986,101,13,61,AH,Ammospermophilus harrisi,UNITED STATES
11735,8,9,1986,102,16,11,AH,Ammospermophilus harrisi,UNITED STATES
11765,8,9,1986,102,16,77,AH,Ammospermophilus harrisi,UNITED STATES
11766,8,9,1986,102,20,77,AH,Ammospermophilus  harrisi,UNITED STATES
11789,8,10,1986,102,15,43,AH,Ammospermophilus harrisi,UNITED STATES
11801,8,10,1986,102,13,64,AH,Ammospermophilus harrisi,UNITED STATES
11833,9,6,1986,103,23,61,AH,Ammospermophilus harrisi,UNITED STATES
11849,9,7,1986,103,7,21,AH,Ammospermophilus harrisi,UNITED STATES
11871,9,7,1986,103,15,53,AH,Ammospermophilus harrisi,UNITED STATES
12028,11,16,1986,105,15,34,AH,Ammospermophilus harrisi,UNITED STATES
12105,12,14,1986,106,12,57,AH,Ammospermophilus harrisi,UNITED STATES
12261,2,1,1987,107,15,32,AH,Ammospermophilus harrisi,UNITED STATES
12270,2,1,1987,107,1,41,AH,Ammospermophilus harrisi,UNITED STATES
12272,2,1,1987,107,1,42,AH,Ammospermophilus harrisi,UNITED STATES
12277,2,1,1987,107,1,44,AH,Ammospermophilus harrisi,UNITED STATES
12278,2,1,1987,107,15,44,AH,Ammospermophilus harrisi,UNITED STATES
12437,3,2,1987,108,15,45,AH,Ammospermophilus harrisi,UNITED STATES
12507,4,4,1987,109,18,47,AH,Ammospermophilus harrisi,UNITED STATES
12593,4,6,1987,109,1,65,AH,Ammospermophilus harrisi,UNITED STATES
12667,4,25,1987,110,20,75,AH,Ammospermophilus harrisi,UNITED STATES
12681,4,26,1987,110,9,21,AH,Ammospermophilus harrisi,UNITED STATES
12766,5,28,1987,111,7,21,AH,Ammospermophilus harrisi,INDIA
12809,5,28,1987,111,15,45,AH,Ammospermophilus harrisi,AUSTRALIA
12823,5,28,1987,111,23,53,AH,Ammospermophilus harrisi,AUSTRALIA
12824,5,28,1987,111,20,53,AH,Ammospermophilus harrisi,AUSTRALIA
12829,5,28,1987,111,15,53,AH,Ammospermophilus harrisi,AUSTRALIA
12832,5,28,1987,111,15,54,AH,Ammospermophilus harrisi,AUSTRALIA
12834,5,28,1987,111,15,55,AH,Ammospermophilus harrisi,AUSTRALIA
12842,5,28,1987,111,20,61,AH,Ammospermophilus  harrisi,AUSTRALIA
12869,5,28,1987,111,23,72,AH,Ammospermophilus harrisi,AUSTRALIA
12874,5,28,1987,111,7,72,AH,Ammospermophilus harrisi,AUSTRALIA
12875,5,28,1987,111,23,73,AH,Ammospermophilus harrisi,AUSTRALIA
12877,5,28,1987,111,20,74,AH,Ammospermophilus harrisi,AUSTRALIA
12881,5,28,1987,111,22,77,AH,Ammospermophilus harrisi,AUSTRALIA
12888,6,30,1987,112,20,11,AH,Ammospermophilus harrisi,AUSTRALIA
12938,6,30,1987,112,20,63,AH,Ammospermophilus harrisi,AUSTRALIA
12956,6,30,1987,112,23,74,AH,Ammospermophilus harrisi,AUSTRALIA
12970,7,1,1987,112,8,22,AH,Ammospermophilus harrisi,United States of America
13144,7,26,1987,113,15,41,AH,Ammospermophilus harrisi,UNITED STATES
13197,8,25,1987,114,18,15,AH,Ammospermophilus harrisi,UNITED STATES
13266,8,26,1987,114,13,17,AH,Ammospermophilus harrisi,UNITED STATES
13338,8,26,1987,114,15,76,AH,Ammospermophilus harrisi,UNITED STATES
13350,9,26,1987,115,18,15,AH,Ammospermophilus harrisi,United States of America
13360,9,26,1987,115,18,26,AH,Ammospermophilus  harrisi,UNITED STATES
13373,9,26,1987,115,12,37,AH,Ammospermophilus harrisi,UNITED STATES
13401,9,26,1987,115,24,67,AH,Ammospermophilus harrisi,INDIA
13438,9,27,1987,115,15,34,AH,Ammospermophilus harrisi,UNITED STATES
13440,9,27,1987,115,15,35,AH,Ammospermophilus harrisi,UNITED STATES
13444,9,27,1987,115,15,43,AH,Ammospermophilus harrisi,UNITED STATES
13620,10,25,1987,116,13,51,AH,Ammospermophilus harrisi,UNITED STATES
13756,11,22,1987,117,15,24,AH,Ammospermophilus harrisi,UNITED STATES
13826,11,22,1987,117,10,71,AH,Ammospermophilus harrisi,UNITED STATES
13886,1,23,1988,118,17,53,AH,Ammospermophilus harrisi,UNITED STATES
13898,1,23,1988,118,17,71,AH,Ammospermophilus harrisi,UNITED STATES
13917,1,24,1988,118,2,11,AH,Ammospermophilus harrisi,UNITED STATES
13928,1,24,1988,118,2,17,AH,Ammospermophilus harrisi,UNITED STATES
