CO2,Light,Treatment,Tank,Colony,Number,total blastate ml,surface area cm2,change in weight g,AFDW g/ml,cells/ml,ug chl a/ml,ug chl c2/ml,mg protein/ml,mg carb/ml,mg lipid/ml,g lipid/gdw
ACO2,LL,LL-AC,1,G,82,10,6.2016,0.055,0.0085,843333,3.0691,0.578,0.364,0.1528,,
ACO2,LL,LL-AC,1,H,62,25,11.6653,0.1105,0.0086,662500,2.2299,0.5689,0.383,0.1049,,
ACO2,LL,LL-AC,1,K,16,17,12.9781,0.0787,0.0088,,3.023,0.7293,0.519,0.1445,,
ACO2,LL,LL-AC,1,L,46,15.5,8.2239,0.0276,0.0084,,3.038,0.6148,0.465,0.0909,2.0333,0.4729
ACO2,LL,LL-AC,1,M,72,28,16.0647,0.1018,0.0088,456667,3.1054,0.4682,0.544,0.131,1.7292,0.3393
ACO2,LL,LL-AC,1,N,13,25,13.4393,0.1185,0.0086,667500,2.2096,0.6269,0.365,0.1154,1.4,0.493
ACO2,LL,LL-AC,1,P,58,14,5.9177,0.0203,0.0084,,1.2745,0.3525,0.299,0.1077,0.6667,0.1887
ACO2,LL,LL-AC,2,G,47,14,7.9755,0.0519,0.0087,780000,2.5511,0.5395,0.478,0.1316,,
ACO2,LL,LL-AC,2,H,19,22,7.8336,0.0359,0.0086,330833,1.4074,0.4995,0.189,0.0657,,
ACO2,LL,LL-AC,2,K,65,28.5,6.2371,0.0736,0.0093,,1.075,0.3339,0.378,0.0983,,
ACO2,LL,LL-AC,2,L,80,17.5,6.5209,0.0672,0.0082,,2.0565,0.5837,0.462,0.0884,1.9333,0.4394
ACO2,LL,LL-AC,2,M,11,15.5,4.2502,,0.0079,212500,1.366,0.3298,0.257,0.0539,1.3333,0.32
ACO2,LL,LL-AC,2,N,71,32.5,13.12,0.0406,0.0083,331667,1.7922,0.5843,0.311,0.0773,1.6,0.3097
ACO2,LL,LL-AC,2,P,81,26.5,12.9781,0.1111,0.0094,,2.0885,0.5251,0.263,0.1073,0.8,0.1805
ACO2,LL,LL-AC,3,G,11,7,3.5407,,0.0074,404167,0.9717,0.2852,0.152,0.0603,,
ACO2,LL,LL-AC,3,H,59,16.5,10.3881,0.0778,0.0098,490000,2.1079,0.7125,0.523,0.1402,,
ACO2,LL,LL-AC,3,K,1,19,9.6076,0.0468,0.0088,,1.3226,0.4,0.29,0.0797,,
ACO2,LL,LL-AC,3,L,50,12,7.0886,0.0514,0.0092,,2.3833,0.5986,0.499,0.1193,1.0667,0.2832
ACO2,LL,LL-AC,3,M,68,12.5,8.1529,0.0461,0.0103,444167,3.1768,0.8947,0.5,0.1019,2.7,0.5192
ACO2,LL,LL-AC,3,N,82,12.5,4.4276,0.0551,0.0089,315000,0.8238,0.303,0.242,0.0627,0.3,0.1084
ACO2,LL,LL-AC,3,P,82,14.5,11.346,0.0647,0.0095,,2.5678,0.5916,0.47,0.1156,1.8,0.3673
HCO2,LL,LL-HC,4,G,26,10,3.8245,0.0325,0.0078,486667,1.2562,0.4157,0.335,0.0701,,
HCO2,LL,LL-HC,4,H,56,16.5,7.6917,0.0531,0.0082,561667,2.4271,0.6972,0.407,0.0925,,
HCO2,LL,LL-HC,4,K,26,18,5.3856,0.0763,0.0089,,1.8812,0.6098,0.332,0.0887,,
HCO2,LL,LL-HC,4,L,15,23.5,11.8427,0.0858,0.0096,,3.3394,0.8323,0.561,0.1316,1.3333,0.3448
HCO2,LL,LL-HC,4,M,12,24.5,11.7363,0.0432,0.0088,633333,3.1694,0.8728,0.471,0.1307,1.5333,0.2911
HCO2,LL,LL-HC,4,N,9,37.5,17.1646,0.1162,0.008,565833,2.6774,0.857,0.246,0.1065,1.07,0.2659
HCO2,LL,LL-HC,4,P,56,18.5,8.4013,0.0984,0.0091,,2.4217,0.7796,0.297,0.1015,1.5333,0.3046
HCO2,LL,LL-HC,5,G,2,15.5,5.421,0.0624,0.0131,344167,0.994,0.4315,0.351,0.1516,,
HCO2,LL,LL-HC,5,H,73,24,5.8823,0.0356,0.012,385833,1.1631,0.3487,0.223,0.0745,,
HCO2,LL,LL-HC,5,K,61,11.5,2.7601,0.0807,0.0106,,0.9586,0.2871,0.172,0.0555,,
HCO2,LL,LL-HC,5,L,86,15,4.3567,0.0625,0.0131,,1.4725,0.52,0.334,0.1477,2.3333,0.4516
HCO2,LL,LL-HC,5,M,6,29,11.8073,0.1676,0.0084,469167,2.2734,0.4798,0.35,0.1051,2.0333,0.391
HCO2,LL,LL-HC,5,N,2,29,15.568,0.1209,0.0117,630833,3.4326,0.8242,0.417,0.1361,1.5667,0.3381
HCO2,LL,LL-HC,5,P,60,25,12.7297,0.2093,0.0129,,2.708,0.5247,0.337,0.104,0.7667,0.1855
HCO2,LL,LL-HC,6,G,90,18,11.5589,0.0853,0.0124,1220000,3.1255,0.7147,0.661,0.1959,,
HCO2,LL,LL-HC,6,H,83,36.5,13.4748,0.1505,0.0114,487500,1.5648,0.5597,0.408,0.0992,1.7333,0.327
HCO2,LL,LL-HC,6,K,33,15,9.6785,0.0874,0.0103,,1.6363,0.5101,0.359,0.1518,,
HCO2,LL,LL-HC,6,L,,,,,,,,,,,,
