OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
1,CF,Camp41-CF,1501,1,Hm,Ad,Obligate,2.5
2,CF,Camp41-CF,1501,1,Hm,Ad,Obligate,1.8
3,CF,Camp41-CF,1501,1,Hm,Ad,Obligate,1.4
4,CF,Camp41-CF,1501,1,Hm,Ad,Obligate,3.5
5,CF,Camp41-CF,1501,1,Pr,Ao,Obligate,1.6
6,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4
7,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4
8,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,5
9,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3
10,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4
11,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4.5
12,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3
13,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2.5
14,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2.5
15,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,<1
16,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3.5
17,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3
18,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,<1
19,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2
20,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4.5
21,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2
22,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,5
23,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2.5
24,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,7
25,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2.5
26,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2.5
27,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3.5
28,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4
29,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,5
30,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2.5
31,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3
32,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,1.6
33,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3
34,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,<1
35,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,2
36,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4.5
37,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,1.2
38,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4
39,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4.7
40,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,6
41,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,<1
42,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,4.5
43,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,6
44,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,5
45,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,3
46,CF,Camp41-CF,1501,1,Hm,Ao,Obligate,1.8
47,CF,Camp41-CF,1501,1,Hp,Ao,Obligate,4.5
48,CF,Camp41-CF,1501,1,Hp,Ao,Obligate,3.5
49,CF,Camp41-CF,1501,1,Hp,Ao,Obligate,2.5
50,CF,Camp41-CF,1501,1,Hp,Ao,Obligate,2
51,CF,Camp41-CF,1501,1,Ds,As,Obligate,5
52,CF,Camp41-CF,1501,1,Hm,As,Obligate,2.5
53,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
54,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
55,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.7
56,CF,Camp41-CF,1501,1,Hm,As,Obligate,1
57,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.7
58,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.4
59,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.2
60,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
61,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.2
62,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.2
63,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
64,CF,Camp41-CF,1501,1,Hm,As,Obligate,1.4
65,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
66,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
67,CF,Camp41-CF,1501,1,Hm,As,Obligate,<1
68,CF,Camp41-CF,1501,1,Hp,As,Obligate,<1
