breed,color,bite_location
germ shepherd,brown/blac,body
dachshund,red,body
pit bull,blk-white,body
germ shepherd,black,NA
shih tzu,beige-wht,body
shih tzu,black,body
cocker spainel,blk-white,head
pit bull,white-tan,body
pit bull,tan,body
chichauhua,tan,head
pit bull,black-whit,head
beagle,NA,head
chow chow,red,body
pit bull,brn-brindl,head
other,white,body
boxer,gray,body
aaust. terr.,black-whit,body
boxer,fawn,body
beagle,tri,body
cocker spainel,black-tan,body
pit bull,tan-white,body
gold retriever,yellow,body
germ shepherd,blk-brown,body
labrador retriv,chocolate,body
gold retriever,lt. golden,body
dachshund,black,body
bullmastiff,brn-brindl,body
pit bull,tan,head
border collie,blk-wht,body
pit bull,white-brn,body
pomeranian,brown-blk,body
yorkshire terrier,gray-wht,body
other,brindle,head
shih tzu,cream,body
other,black,body
other,blk-brindl,body
greyhound,fawn,head
chichauhua,black-tan,body
shih tzu,blk-wht,body
dachshund,black-tan,body
rottweiler,NA,body
other,sandy,body
germ shepherd,brn-blk,body
pit bull,brindle-wh,body
pit bull,NA,body
pit bull,brn-wht,body
amer. bull dog,brn-white,body
pit bull,black/whit,NA
gold retriever,NA,body
dalmatian,NA,body
husky,NA,body
border collie,NA,NA
pit bull,white,body
pit bull,gray/white,body
beagle,tri,head
chow chow,NA,body
aaust. terr.,brown,body
labrador retriv,golden,unknown
yorkshire terrier,tan blk,body
pit bull,blk whte,body
pit bull,black,head
pit bull,brn wht,body
pit bull,brn wht,body
pit bull,brindle,body
pit bull,blue whit,body
dachshund,brown,body
labrador retriv,red,body
boxer,brindle,body
pit bull,wht blk,body
bull dog,tri,NA
shih tzu,black,body
pit bull,wht brn,body
pit bull,white,body
pit bull,wht tan,body
labrador retriv,blk wht,head
pit bull,wht brn,body
mastif,brindle,body
labrador retriv,black,body
pit bull,brown,unknown
chow chow,brn,head
pit bull,white br,body
great pyreneese,white,NA
mastif,NA,body
shih tzu,NA,head
labrador retriv,yellow,NA
germ shepherd,NA,body
great dane,NA,body
shih tzu,beige/whit,body
pit bull,white-brn,NA
pit bull,NA,head
great dane,blk,body
border collie,tri,body
yorkshire terrier,tan-silver,body
pit bull,brown,body
beagle,blue-wht,body
rottweiler,blk-tan,body
poodle,blk,body
siberan husky,tan-wht,body
pit bull,blk-wht,body
germ shepherd,gray-blk,body
pit bull,blk-wht,body
rottweiler,black,body
weimaraner,grey,body
chow chow,beige,body
other,blk-tan,body
corgi,black,body
boston terrier,wht-blk,body
husky,white,body
labrador retriv,black,head
other,red-wht,head
schnauzer,blk-wht,body
shih tzu,tri,body
pit bull,brn-wht,body
pit bull,tan-wht,NA
chichauhua,brown,body
cocker spainel,blk,body
pit bull,brindle,body
other,blk-gray,body
germ shepherd,NA,body
pit bull,NA,head
pit bull,brn-wht,body
labrador retriv,black,body
basset hound,tri,body
bull dog,fawn,body
min pin,blk-tan,body
pit bull,gray-wht,body
pit bull,blue-wht,body
poodle,white,body
germ shepherd,brn-blk,body
aaust. terr.,brn-blk,body
pit bull,black,body
labrador retriv,blk-wht,body
chichauhua,white-tan,body
rottweiler,blk-brn,body
chow chow,NA,head
germ shepherd,blk-tan,body
dachshund,red-brn,body
rottweiler,blk-wht,body
shih tzu,blk-white,head
min pin,cho.-tan,head
welsh corgi,brn-wht,body
pit bull,brn-wht,body
pit bull,brn-blk,body
labrador retriv,red,body
yorkshire terrier,blk-gold,body
border collie,blk,NA
gold retriever,golden,body
pomeranian,tanish,body
labrador retriv,yellow,body
germ shepherd,tan-blk,body
shih tzu,wht-blk,head
bull dog,brn-wht,body
pit bull,grey,body
boxer,tan,body
boxer,brn-wht,body
mastif,bl-brindle,body
germ shepherd,gray-blue,body
cocker spainel,black,body
mastif,tan,body
chichauhua,wht-brn,head
schnauzer,black,head
other,blk-wht,body
pit bull,black-wht,body
cocker spainel,blonde,head
pit bull,tan-wht,head
border collie,blk-wht,body
germ shepherd,blk-tan,body
weimaraner,gray,body
labrador retriv,black,body
rottweiler,NA,body
dachshund,black,head
germ shepherd,white,body
other,black,body
siberan husky,white,body
am bulldog,wht-brn,body
boxer,NA,head
other,blk-wht,head
gold retriever,red,body
germ shepherd,black,body
boxer,red-wht,body
chichauhua,tan,body
pit bull,tan-wht,body
boxer,NA,body
pit bull,tan,body
labrador retriv,black,head
chichauhua,chocolate,body
dachshund,brown,head
chichauhua,blk-tan,body
pit bull,black/whit,head
pit bull,black & wh,body
boxer,NA,body
boxer,brindle-wh,head
amer. bull dog,wht-brn,body
pit bull,tan-wht,body
boxer,brn-white,head
boxer,brindle,body
samoyed,white,body
border collie,black-wht,head
germ shepherd,brn-blk,body
pit bull,tan,body
chichauhua,tan,body
pit bull,brown-wht,body
labrador retriv,brown,body
pit bull,gray-white,body
boxer,brown,body
maltase,white,body
labrador retriv,brown,body
akita,blk-wht,body
pit bull,brown-wht,body
maltase,white,body
pit bull,blk-white,body
sheltie,tri,body
shih tzu,white,body
boston terrier,blk-wht,head
lhasa apso,blk-gray,head
husky,blk-wht,body
pit bull,brindle,body
chichauhua,tan,body
am bulldog,white,body
bull dog,tri,body
chow chow,black,body
other,blk-white,body
pit bull,fawn,body
pit bull,fawn-wht,body
gold retriever,beige,body
saint bernard,brown-wht,body
boxer,brown-wht,body
pit bull,black,body
dachshund,blk-tan,head
boston terrier,black/whit,head
siberan husky,red-wht,head
shih tzu,wht-tan,head
pit bull,white,head
pit bull,white,body
other,white-blk,body
boxer,blk-brown,body
pit bull,brown,head
beagle,brown,head
labrador retriv,black,head
airedale ter.,brown-blk,body
am. eskimo,white,body
germ shepherd,tan-black,body
pit bull,tan-white,body
sheltie,brn-wht,head
chichauhua,white-blk,head
pit bull,NA,body
labrador retriv,black,body
shih tzu,reddish br,body
labrador retriv,blonde,body
pit bull,white-tan,body
pit bull,brown-wht,head
am bulldog,blk-wht,body
bichon frise,white,body
pit bull,black-whit,body
labrador retriv,NA,body
pug,brn-blk,body
greyhound,fawn-wht,body
chichauhua,beige,head
pit bull,white-blk,body
chichauhua,blalck,body
germ shepherd,brown,body
pit bull,brn-wht,head
pit bull,brn-wht,body
chichauhua,tan,body
chow chow,blonde,body
doberman,blk,body
airedale ter.,blk-brn,body
boston terrier,blk-wht,body
germ shepherd,blk-brn,head
schnauzer,gray,body
dotson,brown,body
chow chow,gray/brown,head
pit bull,NA,body
poodle,black/gray,body
aaust. terr.,brn-wht,head
new foundland,black,body
pit bull,brn-wht,body
beagle,NA,body
doberman,blk-tan,body
chichauhua,white,body
pit bull,white,body
pit bull,brown,body
cocker spainel,brown,body
